fkgl,compression_ratio,coherence,coverage,fluency
7.1,0.9375,2.0,2.0,3.0
8.4,0.0024043880081148095,2.0,2.0,3.0
6.2,0.013784049885132918,2.0,2.0,3.0
7.4,0.07886435331230283,4.0,3.0,4.0
15.0,0.049281314168377825,3.0,3.0,4.0
6.2,0.008420208500400962,1.0,1.0,2.0
8.6,0.03366174055829228,2.0,2.0,3.0
7.8,0.2,3.0,2.0,4.0
12.0,0.07782101167315175,2.0,2.0,3.0
3.6,0.0029336047416631743,2.0,2.0,3.0
9.1,0.08838383838383838,2.0,2.0,3.0
13.5,0.018121911037891267,3.0,2.0,4.0
5.3,0.021331609566903685,2.0,2.0,3.0
6.1,0.007900101936799185,2.0,2.0,3.0
7.7,0.07386363636363637,2.0,2.0,3.0
11.8,0.01734367868553172,2.0,2.0,3.0
8.6,0.16666666666666666,3.0,2.0,4.0
12.7,0.12844036697247707,3.0,3.0,4.0
7.8,0.01518288474810214,2.0,2.0,3.0
14.2,0.05116279069767442,3.0,2.0,4.0
12.2,0.03095752339812815,2.0,2.0,3.0
8.2,0.001307054655522306,3.0,3.0,4.0
10.8,0.19140625,4.0,3.0,4.0
7.2,0.09153318077803203,4.0,3.0,4.0
10.3,0.04170286707211121,2.0,2.0,3.0
10.9,0.004501432273905334,2.0,2.0,3.0
11.6,0.12432432432432433,4.0,4.0,5.0
7.3,0.18490566037735848,4.0,3.0,4.0
11.0,0.020603015075376884,3.0,3.0,4.0
10.7,0.17341040462427745,2.0,2.0,3.0
9.1,0.017487046632124352,3.0,3.0,4.0
5.6,0.0034782608695652175,2.0,1.0,3.0
3.7,0.02992633517495396,2.0,2.0,3.0
6.9,0.11330049261083744,3.0,2.0,4.0
10.2,0.07356608478802992,3.0,3.0,4.0
11.8,0.07309486780715396,4.0,3.0,4.0
8.6,0.05150753768844221,2.0,2.0,3.0
5.9,0.0024338459945109007,2.0,2.0,3.0
7.5,0.1848341232227488,2.0,2.0,3.0
8.3,0.03735632183908046,3.0,2.0,4.0
13.0,0.012950971322849213,3.0,2.0,4.0
15.0,0.037333333333333336,3.0,3.0,4.0
6.1,0.02343449865539762,3.0,3.0,4.0
10.8,0.09351145038167939,3.0,2.0,4.0
7.5,0.010240849611227006,2.0,2.0,3.0
6.3,0.036556603773584904,3.0,2.0,4.0
10.4,0.05555555555555555,3.0,3.0,4.0
4.6,0.0677361853832442,3.0,2.0,4.0
3.3,0.0020467998008519115,2.0,2.0,3.0
13.0,0.05452562704471101,2.0,2.0,3.0
10.8,0.08641975308641975,3.0,2.0,4.0
10.3,0.038461538461538464,2.0,2.0,3.0
6.2,0.09438202247191012,2.0,2.0,3.0
5.3,0.05354330708661417,2.0,1.0,3.0
11.4,0.17813765182186234,5.0,4.0,5.0
10.4,0.011134517002708396,2.0,2.0,3.0
8.7,0.08042895442359249,3.0,3.0,4.0
12.7,0.013161101632951498,3.0,3.0,4.0
14.8,0.020452567449956483,2.0,2.0,3.0
4.4,0.001077427885792644,3.0,4.0,3.0
13.1,0.0026455026455026454,3.0,2.0,4.0
11.2,0.24157303370786518,3.0,2.0,4.0
8.0,0.14240506329113925,5.0,4.0,5.0
6.1,0.05688073394495413,2.0,2.0,3.0
17.0,0.14285714285714285,4.0,3.0,4.0
9.9,0.11026615969581749,3.0,2.0,4.0
5.3,0.16728624535315986,2.0,2.0,3.0
8.1,0.1029082774049217,2.0,2.0,3.0
5.5,0.08454106280193237,2.0,2.0,3.0
5.0,0.016191210485736313,2.0,2.0,3.0
6.3,0.013200257566001287,1.0,1.0,2.0
13.1,0.05074971164936563,3.0,3.0,4.0
11.5,0.03419452887537994,2.0,2.0,3.0
11.7,0.012420275260154415,2.0,2.0,3.0
7.3,0.012305374183827222,4.0,3.0,4.0
6.6,0.08736059479553904,2.0,2.0,3.0
9.9,0.00892657888864093,2.0,2.0,3.0
15.8,0.03830911492734478,2.0,2.0,3.0
10.3,0.06417112299465241,2.0,2.0,3.0
7.6,0.008174386920980926,3.0,3.0,4.0
11.9,0.0072992700729927005,3.0,3.0,4.0
5.9,0.2556390977443609,2.0,2.0,3.0
8.5,0.11695906432748537,2.0,2.0,3.0
6.4,0.005756223917110376,2.0,1.0,3.0
13.5,0.0017015484090522376,3.0,2.0,4.0
5.2,0.09538461538461539,4.0,3.0,4.0
14.4,0.018337408312958436,3.0,3.0,4.0
9.4,0.10904872389791183,3.0,2.0,4.0
13.5,0.03642987249544627,2.0,2.0,3.0
10.2,0.05493133583021224,3.0,3.0,4.0
10.7,0.009043635541487679,2.0,2.0,3.0
8.6,0.0998003992015968,4.0,3.0,4.0
12.9,0.01802179379715004,3.0,3.0,4.0
11.9,0.14715719063545152,3.0,2.0,4.0
4.0,0.125,1.0,1.0,2.0
11.9,0.2358490566037736,4.0,3.0,4.0
34.5,0.09090909090909091,3.0,3.0,4.0
6.0,0.3007518796992481,3.0,2.0,4.0
10.4,0.003812997347480106,2.0,2.0,3.0
5.7,0.002395033970379784,2.0,2.0,3.0
8.0,0.019197952218430035,1.0,1.0,2.0
15.8,0.01735194266314598,2.0,2.0,3.0
17.9,0.02134032197678772,2.0,2.0,3.0
7.7,0.11971830985915492,2.0,2.0,3.0
8.0,0.02956636005256242,3.0,3.0,4.0
7.7,0.027571580063626724,2.0,2.0,3.0
12.8,0.13333333333333333,4.0,3.0,4.0
11.5,0.04086265607264472,2.0,2.0,3.0
12.0,0.007268762493185535,3.0,3.0,4.0
9.8,0.009451360073766712,3.0,2.0,4.0
17.0,0.011456940996753867,3.0,3.0,4.0
16.9,0.08433734939759036,3.0,2.0,4.0
12.4,0.04600694444444445,2.0,2.0,3.0
9.5,0.0413135593220339,3.0,2.0,4.0
7.7,0.14285714285714285,2.0,2.0,3.0
12.6,0.0019509476031215162,3.0,2.0,3.0
12.5,0.007483117357181967,4.0,3.0,4.0
10.2,0.0074866310160427805,2.0,2.0,3.0
8.9,0.03229813664596273,3.0,2.0,4.0
8.9,0.1881720430107527,4.0,3.0,4.0
6.2,0.016699801192842943,2.0,2.0,3.0
10.3,0.05623100303951368,2.0,2.0,3.0
5.9,0.011245431543435479,2.0,2.0,3.0
6.6,0.05043859649122807,2.0,2.0,3.0
8.7,0.011445302102741549,3.0,3.0,4.0
11.9,0.011233325532412824,3.0,3.0,4.0
4.5,0.023605150214592276,2.0,2.0,3.0
7.5,0.12202380952380952,4.0,3.0,4.0
8.6,0.08823529411764706,2.0,2.0,3.0
11.3,0.0010035872907413735,2.0,2.0,3.0
9.8,0.005747787101965743,4.0,3.0,4.0
16.2,0.24489795918367346,4.0,4.0,5.0
9.0,0.16176470588235295,4.0,3.0,4.0
3.3,0.04477611940298507,2.0,2.0,3.0
6.6,0.07809847198641766,2.0,2.0,3.0
8.5,0.06326530612244897,2.0,2.0,3.0
3.9,0.11192214111922141,2.0,2.0,3.0
4.2,0.15789473684210525,1.0,1.0,2.0
7.6,0.0015411712901805372,3.0,4.0,4.0
6.2,0.007293243429200495,3.0,3.0,4.0
2.9,0.0018143198513142756,2.0,2.0,3.0
8.8,0.0438871473354232,2.0,2.0,3.0
13.6,0.02280550774526678,3.0,2.0,4.0
6.8,0.09615384615384616,2.0,2.0,3.0
12.7,0.02125984251968504,4.0,3.0,4.0
8.4,0.19696969696969696,2.0,2.0,3.0
10.4,0.005168539325842696,3.0,2.0,4.0
6.2,0.10526315789473684,3.0,2.0,4.0
13.2,0.16304347826086957,4.0,3.0,4.0
7.7,0.009165460684997588,2.0,2.0,3.0
9.5,0.0040889075277836025,2.0,2.0,3.0
14.8,0.006768516727905628,2.0,2.0,3.0
8.1,0.1137370753323486,2.0,2.0,3.0
11.5,0.0034897246994959287,3.0,3.0,4.0
7.7,0.08757637474541752,2.0,2.0,3.0
6.1,0.30656934306569344,2.0,2.0,3.0
9.5,0.18461538461538463,3.0,2.0,4.0
10.7,0.013452914798206279,3.0,3.0,4.0
9.9,0.04158004158004158,2.0,2.0,3.0
9.7,0.04995287464655985,4.0,4.0,5.0
18.6,0.006388804380894433,4.0,3.0,4.0
11.5,0.011295064211666409,2.0,2.0,3.0
9.1,0.006340707341130055,2.0,2.0,3.0
16.6,0.010281385281385282,3.0,3.0,4.0
8.9,0.0031196978818893327,2.0,2.0,3.0
10.4,0.0009532690912858772,3.0,3.0,4.0
14.2,0.014966522252855455,2.0,1.0,3.0
12.5,0.02356902356902357,2.0,1.0,3.0
11.5,0.22429906542056074,4.0,3.0,4.0
8.3,0.017657657657657658,2.0,2.0,3.0
7.5,0.0509478672985782,2.0,2.0,3.0
13.9,0.225,2.0,2.0,3.0
13.4,0.08949416342412451,4.0,3.0,4.0
6.0,0.10899182561307902,3.0,2.0,4.0
7.6,0.1736842105263158,3.0,3.0,4.0
13.0,0.009619084263178146,2.0,2.0,3.0
8.8,0.10576923076923077,2.0,2.0,3.0
9.9,0.0023048555623847574,4.0,3.0,4.0
9.3,0.06784660766961652,2.0,2.0,3.0
8.6,0.1366120218579235,4.0,3.0,4.0
9.9,0.1423487544483986,4.0,3.0,4.0
7.6,0.010776389909380358,3.0,3.0,4.0
9.4,0.06060606060606061,3.0,2.0,4.0
12.4,0.04326530612244898,3.0,3.0,4.0
10.8,0.07256637168141593,3.0,2.0,4.0
12.2,0.01131971286581999,3.0,2.0,4.0
10.7,0.010471204188481676,1.0,1.0,2.0
7.3,0.2684563758389262,2.0,2.0,3.0
8.8,0.3,4.0,3.0,4.0
11.1,0.020578147966683,3.0,3.0,4.0
14.0,0.2682926829268293,4.0,4.0,5.0
4.2,0.013432409259788511,2.0,1.0,3.0
11.1,0.09289617486338798,3.0,2.0,4.0
8.9,0.018069634200088145,3.0,2.0,4.0
11.1,0.03600654664484452,3.0,2.0,4.0
3.8,0.11764705882352941,2.0,2.0,3.0
9.3,0.12863070539419086,4.0,3.0,4.0
6.4,0.09565217391304348,4.0,3.0,4.0
12.9,0.03802672147995889,3.0,2.0,4.0
9.5,0.07187894073139975,4.0,3.0,4.0
5.9,0.05890804597701149,2.0,2.0,3.0
9.3,0.05405405405405406,3.0,2.0,4.0
10.0,0.20202020202020202,4.0,3.0,4.0
16.0,0.05802469135802469,3.0,3.0,4.0
9.9,0.024764150943396228,2.0,2.0,3.0
7.4,0.09940357852882704,3.0,2.0,4.0
13.7,0.06829896907216494,2.0,2.0,3.0
6.8,0.050790067720090294,2.0,2.0,3.0
17.0,0.032723772858517804,4.0,3.0,4.0
11.5,0.016315431679129844,3.0,3.0,4.0
5.7,0.07666666666666666,2.0,2.0,3.0
9.9,0.014825273561595482,3.0,3.0,4.0
