fkgl,compression_ratio,coherence,coverage,fluency
16.2,12.0,1.0,1.0,1.0
9.2,0.002744051422771868,3.0,2.0,4.0
6.3,0.014182058047493404,2.0,2.0,3.0
3.8,0.06785137318255251,3.0,2.0,4.0
11.2,0.04692387904066736,3.0,2.0,4.0
5.1,0.012869495274482204,2.0,2.0,3.0
4.2,0.02743142144638404,2.0,2.0,3.0
7.7,0.2645161290322581,3.0,3.0,4.0
12.0,0.08016032064128256,2.0,2.0,3.0
7.6,0.0026366251198465963,2.0,2.0,3.0
11.4,0.11548556430446194,3.0,2.0,4.0
10.1,0.02547065337763012,2.0,2.0,3.0
6.8,0.0293733681462141,3.0,3.0,4.0
6.5,0.011511895625479662,3.0,2.0,4.0
9.9,0.08708272859216255,3.0,2.0,4.0
11.6,0.017003676470588234,2.0,2.0,3.0
9.5,0.19480519480519481,3.0,2.0,4.0
3.6,0.10897435897435898,2.0,2.0,3.0
4.6,0.013180714533472077,2.0,2.0,3.0
14.2,0.05207100591715976,3.0,2.0,4.0
11.4,0.025473071324599708,2.0,2.0,3.0
7.1,0.0013077293688485098,2.0,2.0,3.0
7.2,0.2697095435684647,3.0,2.0,4.0
8.6,0.0971563981042654,2.0,2.0,3.0
11.1,0.040492957746478875,3.0,3.0,4.0
9.4,0.007654455986878075,2.0,2.0,3.0
9.7,0.11267605633802817,3.0,3.0,4.0
7.1,0.188,4.0,3.0,4.0
13.5,0.021265822784810127,3.0,2.0,4.0
10.8,0.1962025316455696,3.0,2.0,4.0
5.2,0.01366742596810934,2.0,1.0,3.0
7.7,0.0043541364296081275,2.0,2.0,3.0
8.5,0.019007881316643487,3.0,2.0,4.0
5.2,0.11253196930946291,3.0,2.0,4.0
11.4,0.05590851334180432,3.0,2.0,4.0
17.4,0.08598726114649681,4.0,3.0,4.0
6.7,0.07810499359795134,3.0,2.0,4.0
5.9,0.0032649253731343282,3.0,3.0,4.0
7.1,0.23979591836734693,3.0,3.0,4.0
9.5,0.04664723032069971,3.0,2.0,4.0
12.4,0.013692271988860524,3.0,2.0,4.0
12.3,0.03783783783783784,3.0,3.0,4.0
6.6,0.02241112828438949,3.0,2.0,4.0
6.9,0.07269155206286837,3.0,2.0,4.0
17.0,0.007607455306200076,2.0,2.0,3.0
6.4,0.08403361344537816,3.0,2.0,4.0
11.5,0.1008610086100861,3.0,2.0,4.0
