fkgl,compression_ratio,coherence,coverage,fluency
,,,,
9.2,0.0028568206593241365,3.0,2.0,4.0
10.4,0.016160949868073878,3.0,3.0,4.0
9.5,0.09693053311793215,3.0,3.0,4.0
11.5,0.07924921793534932,3.0,2.0,4.0
6.2,0.0090488638648703,2.0,2.0,3.0
11.1,0.03740648379052369,3.0,2.0,4.0
6.4,0.38064516129032255,2.0,2.0,3.0
15.6,0.09218436873747494,2.0,2.0,3.0
8.0,0.002337008628954938,2.0,2.0,3.0
13.1,0.11023622047244094,3.0,3.0,4.0
13.3,0.018826135105204873,3.0,2.0,4.0
6.2,0.03590078328981723,3.0,3.0,4.0
7.7,0.012279355333844973,2.0,2.0,3.0
7.4,0.07402031930333818,2.0,2.0,3.0
11.6,0.017003676470588234,2.0,2.0,3.0
8.0,0.19480519480519481,2.0,2.0,3.0
4.4,0.09294871794871795,2.0,2.0,3.0
7.3,0.019077349982656956,2.0,2.0,3.0
11.4,0.05562130177514793,4.0,3.0,4.0
12.4,0.026928675400291122,3.0,2.0,4.0
9.1,0.001651868676440223,3.0,3.0,4.0
12.0,0.17842323651452283,3.0,3.0,4.0
11.1,0.1990521327014218,4.0,3.0,4.0
8.1,0.04929577464788732,2.0,2.0,3.0
13.0,0.00423728813559322,1.0,1.0,1.0
14.6,0.1352112676056338,3.0,3.0,4.0
6.9,0.192,3.0,2.0,4.0
10.9,0.022278481012658228,3.0,3.0,4.0
7.9,0.17721518987341772,3.0,3.0,4.0
6.3,0.013992840872111943,2.0,2.0,3.0
6.4,0.004547653604257378,2.0,2.0,3.0
9.3,0.02410755679184052,3.0,2.0,4.0
4.4,0.09974424552429667,3.0,2.0,4.0
7.7,0.044472681067344345,3.0,2.0,4.0
19.5,0.10668789808917198,4.0,3.0,4.0
7.3,0.06658130601792574,4.0,3.0,4.0
7.2,0.002021144278606965,3.0,2.0,4.0
8.2,0.25510204081632654,4.0,3.0,4.0
9.5,0.03984450923226433,3.0,2.0,4.0
13.0,0.016245068461359945,4.0,3.0,4.0
15.0,0.03963963963963964,3.0,3.0,4.0
14.8,0.018160741885625966,2.0,2.0,3.0
22.4,0.08447937131630648,3.0,3.0,4.0
17.2,0.00703689615823507,2.0,2.0,3.0
5.4,0.05162064825930372,3.0,2.0,4.0
10.2,0.05781057810578106,3.0,2.0,4.0
8.5,0.09523809523809523,2.0,2.0,3.0
16.1,0.003598715535378142,4.0,3.0,4.0
17.0,0.0598669623059867,4.0,3.0,4.0
17.0,0.09782608695652174,4.0,3.0,4.0
3.9,0.053203040173724216,3.0,2.0,4.0
5.2,0.16744186046511628,4.0,3.0,4.0
6.2,0.11129032258064517,3.0,3.0,4.0
9.0,0.16379310344827586,3.0,3.0,4.0
12.1,0.010580411124546553,3.0,2.0,4.0
10.3,0.10259917920656635,4.0,3.0,4.0
14.6,0.013209393346379647,3.0,3.0,4.0
16.8,0.025843188786684186,2.0,2.0,3.0
9.9,0.0012982877299561521,3.0,2.0,4.0
12.9,0.003938344537244517,3.0,3.0,4.0
14.4,0.2147239263803681,4.0,3.0,4.0
15.0,0.18604651162790697,3.0,3.0,4.0
18.5,0.07924528301886792,3.0,2.0,4.0
13.1,0.10623556581986143,3.0,2.0,4.0
6.4,0.1350293542074364,3.0,3.0,4.0
7.6,0.1732283464566929,3.0,2.0,4.0
8.4,0.12962962962962962,2.0,2.0,3.0
9.1,0.12030075187969924,4.0,3.0,4.0
5.3,0.017060876308646764,2.0,2.0,3.0
7.3,0.017793594306049824,4.0,3.0,4.0
15.4,0.07511737089201878,3.0,2.0,4.0
9.5,0.030745580322828592,2.0,2.0,3.0
11.9,0.01349527665317139,2.0,2.0,3.0
16.6,0.01739349634484497,4.0,3.0,4.0
10.7,0.07648183556405354,3.0,2.0,4.0
15.8,0.013210927004030452,3.0,3.0,4.0
13.3,0.027351567711807873,3.0,3.0,4.0
10.3,0.09157509157509157,3.0,2.0,4.0
8.8,0.011516689439781378,3.0,2.0,4.0
12.3,0.00823045267489712,3.0,2.0,4.0
3.0,0.2711864406779661,3.0,2.0,4.0
8.0,0.11314984709480122,3.0,2.0,4.0
5.7,0.007066628208826075,2.0,2.0,3.0
13.8,0.0018724997872159332,3.0,3.0,4.0
6.3,0.11290322580645161,4.0,3.0,4.0
9.7,0.01845018450184502,3.0,2.0,4.0
9.8,0.12740384615384615,3.0,2.0,4.0
10.6,0.03785780240073869,4.0,3.0,4.0
7.2,0.035623409669211195,2.0,2.0,3.0
10.3,0.007259528130671506,2.0,2.0,3.0
8.6,0.10905349794238683,4.0,3.0,4.0
8.3,0.02066638549135386,3.0,2.0,4.0
7.2,0.14788732394366197,3.0,2.0,4.0
5.3,0.22666666666666666,2.0,2.0,3.0
10.7,0.25888324873096447,3.0,2.0,4.0
13.3,0.09637046307884856,4.0,3.0,5.0
4.7,0.3135593220338983,2.0,2.0,3.0
11.5,0.0031537886961573573,3.0,2.0,4.0
