fkgl,compression_ratio,coherence,coverage,fluency
,,,,
7.0,0.0018794872758711423,3.0,4.0,3.0
5.7,0.018139841688654353,3.0,3.0,4.0
5.3,0.09369951534733441,2.0,2.0,3.0
10.6,0.05005213764337852,3.0,3.0,4.0
5.3,0.011461894228835713,2.0,3.0,3.0
2.9,0.04821280133000831,3.0,3.0,4.0
7.3,0.32903225806451614,3.0,3.0,4.0
7.3,0.10420841683366733,3.0,3.0,4.0
7.1,0.0031160115052732505,2.0,3.0,3.0
11.2,0.11811023622047244,3.0,3.0,4.0
12.1,0.023255813953488372,3.0,3.0,4.0
4.3,0.033942558746736295,3.0,3.0,4.0
6.0,0.01330263494499872,3.0,4.0,3.0
5.4,0.07402031930333818,3.0,3.0,4.0
11.1,0.02068014705882353,3.0,3.0,4.0
4.4,0.22943722943722944,3.0,3.0,4.0
3.9,0.17307692307692307,3.0,3.0,4.0
2.8,0.019424210891432536,2.0,3.0,3.0
8.1,0.05562130177514793,4.0,4.0,4.0
4.4,0.043668122270742356,3.0,3.0,4.0
3.6,0.0019271801225135936,2.0,3.0,3.0
7.4,0.22406639004149378,2.0,2.0,3.0
10.2,0.12796208530805686,2.0,2.0,3.0
4.8,0.04753521126760563,3.0,3.0,4.0
7.3,0.007107709130672498,3.0,3.0,4.0
13.4,0.12112676056338029,3.0,3.0,4.0
6.2,0.212,3.0,3.0,4.0
13.7,0.022278481012658228,3.0,3.0,4.0
7.2,0.31645569620253167,2.0,2.0,3.0
6.3,0.017897819720143184,3.0,3.0,4.0
5.5,0.005128205128205128,3.0,4.0,3.0
2.2,0.02642559109874826,3.0,4.0,3.0
6.0,0.1329923273657289,3.0,3.0,4.0
8.3,0.06353240152477764,2.0,2.0,3.0
8.2,0.07961783439490445,3.0,3.0,4.0
4.8,0.07170294494238157,2.0,2.0,3.0
4.2,0.0029539800995024876,2.0,3.0,3.0
7.7,0.25,2.0,2.0,3.0
5.6,0.052478134110787174,3.0,3.0,4.0
3.8,0.013692271988860524,2.0,2.0,3.0
8.2,0.04684684684684685,2.0,2.0,3.0
9.6,0.01893353941267388,3.0,2.0,4.0
7.3,0.10019646365422397,2.0,2.0,3.0
7.3,0.0098896918980601,2.0,2.0,3.0
5.4,0.06842737094837935,3.0,3.0,4.0
6.8,0.07503075030750307,3.0,3.0,4.0
9.6,0.08974358974358974,2.0,2.0,3.0
4.6,0.0029897021370833793,2.0,3.0,3.0
9.2,0.05321507760532151,3.0,4.0,4.0
14.0,0.08876811594202899,2.0,2.0,3.0
11.1,0.05537459283387622,3.0,3.0,4.0
3.5,0.13488372093023257,3.0,3.0,4.0
6.1,0.08548387096774193,2.0,2.0,3.0
5.6,0.23275862068965517,2.0,2.0,3.0
12.8,0.015114873035066506,3.0,3.0,4.0
6.6,0.06976744186046512,3.0,3.0,4.0
5.5,0.014187866927592954,2.0,3.0,3.0
10.7,0.02102496714848883,2.0,2.0,3.0
4.5,0.0013472797197658182,3.0,4.0,3.0
14.2,0.003530929585115774,2.0,3.0,3.0
11.5,0.27607361963190186,3.0,3.0,4.0
10.3,0.15614617940199335,3.0,3.0,4.0
7.3,0.09622641509433963,3.0,3.0,4.0
11.0,0.11778290993071594,2.0,2.0,3.0
6.4,0.11154598825831702,3.0,3.0,4.0
6.2,0.2125984251968504,3.0,3.0,4.0
7.3,0.125,3.0,2.0,4.0
8.3,0.14285714285714285,2.0,2.0,3.0
4.4,0.02093834819697557,2.0,2.0,3.0
3.5,0.01844063409899709,2.0,3.0,3.0
13.8,0.06338028169014084,3.0,3.0,4.0
11.1,0.03920061491160646,2.0,2.0,3.0
6.1,0.017543859649122806,3.0,3.0,4.0
5.9,0.015124779430299974,3.0,4.0,3.0
5.3,0.1089866156787763,3.0,3.0,4.0
11.2,0.011643528884908196,3.0,3.0,4.0
24.0,0.0333555703802535,2.0,2.0,3.0
4.5,0.10073260073260074,3.0,3.0,4.0
7.3,0.010345500683193442,3.0,4.0,4.0
8.3,0.007773205304069501,3.0,3.0,4.0
10.3,0.3813559322033898,4.0,3.0,4.0
13.9,0.13761467889908258,3.0,3.0,4.0
6.0,0.007066628208826075,3.0,4.0,3.0
15.2,0.0013901892359633444,3.0,4.0,3.0
4.0,0.1774193548387097,3.0,3.0,4.0
16.0,0.01927019270192702,3.0,3.0,4.0
7.2,0.125,2.0,2.0,3.0
14.2,0.046168051708217916,3.0,3.0,4.0
