fkgl,compression_ratio,coherence,coverage,fluency
,,,,
7.0,0.0019,1.2,1.0,0.9275
5.7,0.0181,1.6,1.0,0.894
5.3,0.0937,1.4,1.0,0.7766
10.6,0.0501,1.8,1.0,0.7635000000000001
5.3,0.0115,2.0,1.0,0.8297
2.9,0.0482,2.4,1.0,0.7126000000000001
7.3,0.329,2.2,1.0,0.9561
7.3,0.1042,1.4,1.0,0.9908
7.1,0.0031,1.4,1.0,0.9306
11.2,0.1181,2.0,1.0,0.7463
12.1,0.0233,1.6,1.0,0.6698000000000001
4.3,0.0339,2.2,1.0,0.8044
6.0,0.0133,1.4,1.0,0.9020999999999999
5.4,0.074,2.0,1.0,0.8869
11.1,0.0207,2.0,1.0,0.7493000000000001
4.4,0.2294,2.2,1.0,0.8054000000000001
3.9,0.1731,2.2,1.0,0.7942
2.8,0.0194,2.2,1.0,0.7096
8.1,0.0556,2.0,1.0,0.9347
4.4,0.0437,1.6,1.0,0.7531999999999999
3.6,0.0019,2.6,1.0,0.7861
7.4,0.2241,1.6,1.0,0.9377
10.2,0.128,1.8,1.0,0.9351
4.8,0.0475,2.6,1.0,0.8697
7.3,0.0071,1.8,1.0,0.9908
13.4,0.1211,1.4,1.0,0.5821000000000001
6.2,0.212,1.6,1.0,0.9081999999999999
13.7,0.0223,1.2,1.0,0.6271
7.2,0.3165,2.0,1.0,0.9867
6.3,0.0179,1.6,1.0,0.8561
5.5,0.0051,2.0,1.0,0.89
2.2,0.0264,3.0,1.0,0.6943999999999999
6.0,0.133,1.4,1.0,0.848
8.3,0.0635,2.0,1.0,0.9307
8.2,0.0796,2.4,1.0,0.9879
4.8,0.0717,2.0,1.0,0.8706999999999999
4.2,0.003,1.8,1.0,0.7472
7.7,0.25,3.0,1.0,0.9469
5.6,0.0525,1.8,1.0,0.892
3.8,0.0137,2.2,1.0,0.7901
8.2,0.0468,1.4,1.0,0.9879
9.6,0.0189,1.4,1.0,0.9493
7.3,0.1002,2.2,1.0,0.9888
7.3,0.0099,1.8,1.0,0.9908
5.4,0.0684,1.8,1.0,0.8318000000000001
6.8,0.075,1.4,1.0,0.8683
9.6,0.0897,1.4,1.0,0.9493
4.6,0.003,2.8,1.0,0.8665999999999999
9.2,0.0532,2.2,1.0,0.9084000000000001
14.0,0.0888,1.0,1.0,0.7815
11.1,0.0554,1.0,1.0,0.8575999999999999
3.5,0.1349,2.0,1.0,0.7299
6.1,0.0855,1.6,1.0,0.851
5.6,0.2328,2.8,1.0,0.892
12.8,0.0151,1.4,1.0,0.8661
6.6,0.0698,2.2,1.0,0.9715
5.5,0.0142,1.6,1.0,0.8338
10.7,0.021,1.6,1.0,0.8678
4.5,0.0013,2.2,1.0,0.8094
14.2,0.0035,1.4,1.0,0.7764
11.5,0.2761,1.4,1.0,0.7933
10.3,0.1561,1.6,1.0,0.8258
7.3,0.0962,2.0,1.0,0.9888
11.0,0.1178,1.4,1.0,0.8606
6.4,0.1115,2.2,1.0,0.8581000000000001
6.2,0.2126,1.6,1.0,0.8531
7.3,0.125,1.2,1.0,0.9356
8.3,0.1429,1.6,1.0,0.9089
4.4,0.0209,1.6,1.0,0.8073999999999999
3.5,0.0184,2.2,1.0,0.7279
13.8,0.0634,1.0,1.0,0.8407
