fkgl,compression_ratio,coherence,coverage,fluency
7.2,2.0,5.0,5.0,5.0
17.3,0.004658501765722444,4.0,4.0,5.0
14.0,0.042336724647193964,4.0,4.0,4.0
11.9,0.1498422712933754,5.0,5.0,5.0
17.4,0.1293634496919918,5.0,5.0,5.0
14.2,0.026663993584603047,4.0,4.0,5.0
15.9,0.10755336617405582,4.0,4.0,4.0
8.2,0.27647058823529413,5.0,5.0,5.0
16.4,0.23929961089494164,5.0,5.0,5.0
15.3,0.006465904328563731,4.0,4.0,5.0
14.9,0.3005050505050505,5.0,5.0,5.0
14.5,0.0642504118616145,5.0,5.0,5.0
14.5,0.07304460245636717,5.0,5.0,5.0
14.4,0.029561671763506627,4.0,4.0,4.0
13.3,0.16051136363636365,5.0,5.0,5.0
13.6,0.05568233683249658,5.0,4.0,5.0
11.3,0.3333333333333333,5.0,4.0,5.0
13.9,0.27522935779816515,5.0,5.0,5.0
14.1,0.04278812974465148,4.0,4.0,4.0
15.3,0.1313953488372093,5.0,5.0,5.0
14.7,0.08783297336213103,4.0,4.0,5.0
17.2,0.003233240463660441,4.0,4.0,5.0
11.6,0.359375,5.0,5.0,5.0
12.9,0.2540045766590389,5.0,5.0,5.0
15.4,0.09904430929626412,4.0,4.0,5.0
15.1,0.017323693902605374,4.0,4.0,4.0
15.2,0.2891891891891892,5.0,5.0,5.0
15.1,0.32075471698113206,5.0,5.0,5.0
15.3,0.06532663316582915,4.0,4.0,5.0
11.2,0.3988439306358382,5.0,5.0,5.0
11.5,0.04047927461139896,4.0,4.0,4.0
14.0,0.012367149758454106,4.0,4.0,4.0
14.2,0.052486187845303865,5.0,4.0,5.0
15.2,0.2413793103448276,5.0,5.0,5.0
15.9,0.15211970074812967,5.0,5.0,5.0
17.9,0.19751166407465007,5.0,4.0,5.0
13.2,0.11306532663316583,5.0,4.0,5.0
16.2,0.005592667391642069,4.0,4.0,5.0
11.1,0.3791469194312796,5.0,5.0,5.0
11.8,0.10727969348659004,5.0,5.0,5.0
15.3,0.028677150786308975,4.0,4.0,5.0
14.8,0.10933333333333334,5.0,4.0,5.0
14.1,0.050326546292739145,4.0,4.0,5.0
15.3,0.2366412213740458,5.0,5.0,5.0
23.0,0.02446425184904229,4.0,4.0,5.0
11.1,0.12028301886792453,5.0,5.0,5.0
14.8,0.14130434782608695,5.0,5.0,5.0
16.9,0.20320855614973263,5.0,5.0,5.0
18.9,0.006914864192067268,4.0,4.0,5.0
17.1,0.13304252998909488,5.0,5.0,5.0
15.6,0.20634920634920634,5.0,5.0,5.0
14.2,0.12179487179487179,4.0,4.0,4.0
12.6,0.24269662921348314,5.0,5.0,5.0
13.8,0.13070866141732285,5.0,4.0,5.0
14.5,0.27530364372469635,5.0,5.0,5.0
12.8,0.03882034306349684,5.0,5.0,5.0
16.1,0.15951742627345844,5.0,5.0,5.0
14.9,0.030221788934925664,4.0,4.0,5.0
17.8,0.054395126196692775,4.0,4.0,5.0
17.0,0.0028160047015035015,4.0,4.0,5.0
17.3,0.008072174738841406,4.0,4.0,5.0
12.4,0.4044943820224719,5.0,5.0,5.0
12.0,0.3069620253164557,5.0,5.0,5.0
13.8,0.1761467889908257,5.0,4.0,5.0
13.6,0.27455357142857145,5.0,5.0,5.0
10.4,0.17300380228136883,4.0,4.0,5.0
11.1,0.2527881040892193,5.0,5.0,5.0
13.8,0.2348993288590604,5.0,5.0,5.0
9.8,0.20048309178743962,5.0,5.0,5.0
15.1,0.048959136468774096,4.0,4.0,5.0
15.1,0.03895685769478429,4.0,4.0,5.0
11.7,0.14994232987312572,5.0,5.0,5.0
14.6,0.08966565349544073,5.0,5.0,5.0
18.5,0.03994629070157771,5.0,5.0,5.0
14.0,0.03214465092918132,4.0,4.0,5.0
17.7,0.20260223048327136,5.0,5.0,5.0
11.0,0.02722606561035483,4.0,4.0,4.0
16.7,0.08388375165125496,4.0,4.0,5.0
13.0,0.2014260249554367,5.0,5.0,5.0
17.8,0.024328532502919425,4.0,4.0,5.0
19.3,0.019768856447688565,4.0,4.0,5.0
11.4,0.43609022556390975,5.0,5.0,5.0
16.3,0.3538011695906433,5.0,5.0,5.0
17.5,0.017556482947186647,4.0,4.0,5.0
16.1,0.0035448925188588283,4.0,4.0,5.0
11.9,0.23384615384615384,5.0,5.0,5.0
16.7,0.05419722901385493,4.0,4.0,4.0
10.7,0.22041763341067286,5.0,5.0,5.0
14.3,0.10109289617486339,5.0,5.0,5.0
17.0,0.14357053682896379,4.0,4.0,5.0
16.4,0.02916572462129776,4.0,4.0,5.0
12.7,0.21157684630738524,5.0,5.0,5.0
17.6,0.054065381391450125,5.0,5.0,5.0
15.4,0.29431438127090304,5.0,5.0,5.0
13.1,0.26666666666666666,5.0,5.0,5.0
12.4,0.33962264150943394,5.0,5.0,5.0
16.7,0.1547911547911548,5.0,4.0,5.0
13.1,0.42857142857142855,5.0,4.0,5.0
14.7,0.009946949602122016,4.0,4.0,5.0
14.6,0.005865389315215797,4.0,4.0,5.0
15.3,0.05546075085324232,4.0,4.0,4.0
15.4,0.04979253112033195,4.0,4.0,5.0
17.3,0.04455260202171472,4.0,4.0,5.0
