fkgl,compression_ratio,coherence,coverage,fluency
5.8,25.0,3.0,2.0,4.0
15.1,0.004097282261399091,4.0,4.0,5.0
13.5,0.03990765171503958,4.0,4.0,5.0
12.7,0.13570274636510501,5.0,4.0,5.0
17.3,0.12930135557872785,5.0,5.0,5.0
15.5,0.02674441986728333,4.0,4.0,5.0
12.6,0.0889443059019119,5.0,5.0,5.0
9.8,0.3225806451612903,5.0,5.0,5.0
12.1,0.23246492985971945,5.0,4.0,5.0
19.4,0.006951102588686481,4.0,4.0,5.0
15.6,0.29396325459317585,5.0,5.0,5.0
15.1,0.07032115171650055,4.0,4.0,5.0
12.5,0.08028720626631854,5.0,4.0,5.0
16.0,0.029930928626247123,4.0,4.0,5.0
12.7,0.1741654571843251,5.0,5.0,5.0
13.8,0.05744485294117647,4.0,4.0,5.0
12.8,0.27705627705627706,4.0,4.0,5.0
14.2,0.2403846153846154,5.0,4.0,5.0
13.8,0.04162330905306972,5.0,4.0,5.0
14.6,0.11952662721893491,5.0,5.0,5.0
14.3,0.0975254730713246,5.0,5.0,5.0
13.7,0.004267327414137243,4.0,4.0,5.0
12.9,0.3070539419087137,5.0,4.0,5.0
15.3,0.2559241706161137,5.0,4.0,5.0
13.2,0.10211267605633803,5.0,4.0,5.0
13.3,0.016129032258064516,4.0,4.0,5.0
17.9,0.23943661971830985,5.0,5.0,5.0
13.6,0.276,5.0,5.0,5.0
16.0,0.062278481012658225,5.0,4.0,5.0
9.8,0.4240506329113924,5.0,5.0,5.0
13.1,0.04328018223234624,4.0,4.0,5.0
17.5,0.011804547653604258,4.0,4.0,5.0
14.6,0.054705609643022714,5.0,4.0,5.0
14.2,0.24296675191815856,5.0,5.0,5.0
15.2,0.14104193138500634,5.0,5.0,5.0
16.9,0.18152866242038215,5.0,4.0,5.0
14.1,0.1267605633802817,5.0,4.0,5.0
17.4,0.0065298507462686565,4.0,4.0,5.0
11.8,0.3826530612244898,5.0,5.0,5.0
14.4,0.09426627793974733,5.0,5.0,5.0
15.3,0.02877697841726619,4.0,4.0,5.0
15.9,0.10990990990990991,5.0,5.0,5.0
14.1,0.04173106646058733,5.0,5.0,5.0
14.4,0.2200392927308448,5.0,5.0,5.0
18.8,0.024724229745150247,5.0,4.0,5.0
13.7,0.14165666266506602,5.0,5.0,5.0
13.9,0.15621156211562115,5.0,4.0,5.0
15.9,0.21245421245421245,5.0,4.0,5.0
17.5,0.00675451223563282,4.0,4.0,5.0
17.7,0.14523281596452328,5.0,5.0,5.0
16.3,0.19202898550724637,5.0,5.0,5.0
14.6,0.13029315960912052,4.0,4.0,5.0
13.4,0.20232558139534884,5.0,5.0,5.0
10.9,0.15806451612903225,5.0,4.0,5.0
12.9,0.31896551724137934,5.0,4.0,5.0
13.8,0.0380894800483676,5.0,4.0,5.0
15.5,0.17236662106703146,5.0,5.0,5.0
13.6,0.02984344422700587,5.0,4.0,5.0
17.2,0.05387647831800263,5.0,4.0,5.0
15.9,0.002939519388579967,4.0,4.0,5.0
16.8,0.00794459156651049,4.0,4.0,5.0
11.6,0.4662576687116564,5.0,5.0,5.0
12.8,0.3554817275747508,5.0,4.0,5.0
14.3,0.23773584905660378,5.0,4.0,5.0
14.1,0.2840646651270208,5.0,5.0,5.0
10.3,0.21135029354207435,5.0,5.0,5.0
11.5,0.28346456692913385,5.0,5.0,5.0
13.5,0.2337962962962963,5.0,5.0,5.0
9.6,0.24561403508771928,5.0,5.0,5.0
16.7,0.04342768514928267,5.0,4.0,5.0
15.1,0.04108702685215141,5.0,4.0,5.0
11.5,0.1467136150234742,5.0,5.0,5.0
16.3,0.08455034588777863,5.0,5.0,5.0
17.2,0.03475033738191633,5.0,5.0,5.0
13.0,0.03302243508948828,5.0,4.0,5.0
16.8,0.17208413001912046,5.0,4.0,5.0
12.4,0.027093596059113302,4.0,4.0,4.0
17.5,0.08138759172781855,4.0,4.0,5.0
11.3,0.19230769230769232,5.0,5.0,5.0
17.8,0.02459496388834667,5.0,5.0,5.0
15.5,0.020423715896966926,4.0,4.0,5.0
10.4,0.5169491525423728,5.0,5.0,5.0
14.6,0.3058103975535168,5.0,5.0,5.0
16.2,0.017306028266512834,4.0,4.0,5.0
19.4,0.0033194314409736997,4.0,4.0,5.0
13.2,0.2903225806451613,5.0,4.0,5.0
17.6,0.05043050430504305,4.0,4.0,5.0
10.9,0.23798076923076922,5.0,5.0,5.0
14.4,0.10341643582640812,5.0,4.0,5.0
13.6,0.15521628498727735,5.0,4.0,5.0
17.2,0.03017241379310345,4.0,4.0,5.0
13.5,0.20987654320987653,5.0,5.0,5.0
18.2,0.05482918599746942,5.0,4.0,5.0
18.5,0.2852112676056338,5.0,4.0,5.0
12.5,0.27555555555555555,5.0,5.0,5.0
11.3,0.4416243654822335,5.0,5.0,5.0
13.9,0.15894868585732166,5.0,5.0,5.0
12.3,0.4322033898305085,5.0,4.0,5.0
14.8,0.01020831604282513,4.0,4.0,5.0
15.5,0.005625122285267071,4.0,4.0,5.0
