fkgl,compression_ratio,coherence,coverage,fluency
3.4,1.0625,5.0,5.0,5.0
7.2,0.001127056878803817,2.0,3.0,3.0
8.2,0.016409583196586808,2.0,2.0,3.0
4.0,0.06782334384858044,2.0,2.0,3.0
12.3,0.061601642710472276,2.0,2.0,3.0
7.2,0.006014434643143544,2.0,2.0,3.0
5.7,0.030377668308702793,2.0,2.0,3.0
6.8,0.21176470588235294,3.0,3.0,4.0
8.6,0.09727626459143969,3.0,2.0,4.0
11.5,0.0026941268035682213,2.0,2.0,3.0
8.7,0.12878787878787878,3.0,2.0,4.0
8.7,0.04612850082372323,2.0,2.0,3.0
6.0,0.025210084033613446,2.0,2.0,3.0
5.2,0.008409785932721712,2.0,2.0,3.0
6.8,0.05113636363636364,2.0,2.0,3.0
7.6,0.019169329073482427,2.0,2.0,3.0
8.4,0.1951219512195122,4.0,3.0,4.0
4.3,0.10703363914373089,1.0,1.0,2.0
2.8,0.013457556935817806,2.0,2.0,3.0
11.4,0.05116279069767442,2.0,2.0,3.0
9.9,0.03095752339812815,2.0,2.0,3.0
9.1,0.0018573934578474873,3.0,3.0,4.0
5.2,0.12890625,2.0,2.0,3.0
12.7,0.10983981693363844,3.0,2.0,4.0
8.4,0.04170286707211121,3.0,2.0,4.0
8.2,0.005183467466921293,2.0,2.0,3.0
27.9,0.15405405405405406,2.0,2.0,3.0
6.0,0.1471698113207547,2.0,2.0,3.0
20.3,0.03768844221105527,3.0,3.0,4.0
3.0,0.19653179190751446,2.0,2.0,3.0
4.2,0.011010362694300517,2.0,2.0,3.0
7.9,0.003381642512077295,1.0,1.0,2.0
4.4,0.016114180478821363,2.0,2.0,3.0
10.1,0.07142857142857142,1.0,1.0,2.0
3.8,0.05112219451371571,1.0,1.0,2.0
17.0,0.09331259720062209,4.0,3.0,4.0
6.7,0.04396984924623116,3.0,3.0,4.0
5.7,0.0023820620371808815,3.0,3.0,4.0
8.0,0.17061611374407584,3.0,2.0,4.0
5.8,0.03639846743295019,2.0,2.0,3.0
4.7,0.011100832562442183,2.0,2.0,3.0
13.5,0.037333333333333336,2.0,2.0,3.0
8.1,0.014214368036880523,1.0,1.0,1.0
11.1,0.1316793893129771,2.0,2.0,3.0
2.2,0.004741134079271762,1.0,1.0,1.0
7.2,0.06721698113207547,2.0,2.0,3.0
9.1,0.07608695652173914,2.0,2.0,3.0
15.0,0.0855614973262032,3.0,2.0,4.0
16.2,0.0026553078497538306,3.0,3.0,4.0
7.4,0.05452562704471101,1.0,1.0,2.0
9.1,0.10405643738977072,2.0,2.0,3.0
5.3,0.045940170940170943,1.0,1.0,1.0
3.1,0.07640449438202247,2.0,2.0,3.0
7.6,0.04409448818897638,2.0,2.0,3.0
9.5,0.15789473684210525,2.0,2.0,3.0
8.7,0.02046343665362624,3.0,3.0,4.0
4.9,0.05361930294906166,3.0,2.0,4.0
12.0,0.014135998050207165,2.0,2.0,3.0
16.8,0.024804177545691905,2.0,2.0,3.0
8.8,0.0008080709143444831,2.0,2.0,3.0
13.3,0.0040021706688373355,3.0,3.0,4.0
12.0,0.2247191011235955,3.0,3.0,4.0
13.1,0.13924050632911392,3.0,2.0,4.0
10.7,0.09541284403669725,3.0,3.0,4.0
14.0,0.12276785714285714,2.0,2.0,3.0
5.5,0.08365019011406843,3.0,3.0,4.0
6.0,0.1449814126394052,3.0,2.0,4.0
14.2,0.11185682326621924,3.0,2.0,4.0
7.8,0.10628019323671498,2.0,2.0,3.0
8.5,0.015805705474171164,2.0,2.0,3.0
4.6,0.014488087572440437,2.0,2.0,3.0
8.1,0.05651672433679354,2.0,2.0,3.0
10.3,0.03419452887537994,1.0,1.0,2.0
12.7,0.014098690835850957,3.0,2.0,4.0
13.0,0.01883475640381718,3.0,3.0,4.0
4.8,0.055762081784386616,2.0,2.0,3.0
10.4,0.010265565721937068,2.0,2.0,3.0
14.4,0.03368560105680317,2.0,2.0,3.0
9.1,0.06417112299465241,2.0,2.0,3.0
12.7,0.014013234721681589,2.0,2.0,3.0
8.5,0.0047141119221411195,1.0,1.0,2.0
4.0,0.21804511278195488,2.0,2.0,3.0
12.7,0.13157894736842105,3.0,2.0,4.0
5.0,0.005324507123327098,2.0,2.0,3.0
13.4,0.0019567806704100734,3.0,3.0,4.0
5.5,0.1076923076923077,2.0,2.0,3.0
12.0,0.023634881825590873,2.0,2.0,3.0
8.2,0.10904872389791183,2.0,2.0,3.0
12.4,0.04735883424408015,2.0,2.0,3.0
4.9,0.049937578027465665,2.0,2.0,3.0
9.3,0.013791544200768708,2.0,2.0,3.0
10.3,0.12574850299401197,2.0,2.0,3.0
7.0,0.019698239731768652,2.0,2.0,3.0
11.9,0.12709030100334448,3.0,2.0,4.0
2.7,0.125,1.0,1.0,2.0
15.2,0.3160377358490566,3.0,3.0,4.0
12.3,0.056511056511056514,2.0,2.0,3.0
3.4,0.43609022556390975,1.0,1.0,2.0
9.4,0.003895888594164456,1.0,1.0,2.0
