fkgl,compression_ratio,coherence,coverage,fluency
19.8,9.0,1.0,1.0,2.0
7.2,0.0011276923655226855,2.0,2.0,3.0
4.5,0.011873350923482849,2.0,2.0,3.0
9.1,0.08723747980613894,3.0,2.0,4.0
15.4,0.06882168925964546,3.0,3.0,4.0
4.3,0.005228232455258395,2.0,2.0,3.0
8.5,0.03325020781379884,2.0,2.0,3.0
6.8,0.23225806451612904,3.0,3.0,4.0
8.4,0.09619238476953908,3.0,2.0,4.0
11.5,0.002696548418024928,2.0,2.0,3.0
8.6,0.13123359580052493,4.0,3.0,4.0
8.7,0.046511627906976744,2.0,2.0,3.0
9.5,0.024804177545691905,2.0,2.0,3.0
5.1,0.011000255819902788,2.0,2.0,3.0
6.8,0.05224963715529753,2.0,2.0,3.0
7.6,0.019301470588235295,2.0,2.0,3.0
8.1,0.19913419913419914,3.0,3.0,4.0
4.8,0.09615384615384616,2.0,2.0,3.0
4.4,0.012486992715920915,2.0,2.0,3.0
8.4,0.03550295857988166,3.0,2.0,4.0
9.6,0.02911208151382824,3.0,2.0,4.0
9.1,0.001858352260995251,3.0,3.0,4.0
4.2,0.14107883817427386,2.0,1.0,3.0
10.0,0.12322274881516587,3.0,3.0,4.0
10.7,0.058098591549295774,3.0,3.0,4.0
8.2,0.00519409513395298,2.0,2.0,3.0
24.8,0.13802816901408452,3.0,2.0,4.0
6.0,0.156,3.0,2.0,4.0
21.4,0.0410126582278481,3.0,3.0,4.0
3.7,0.189873417721519,3.0,2.0,4.0
5.1,0.010413276928083305,2.0,2.0,3.0
7.9,0.003386550556361877,1.0,1.0,2.0
4.8,0.01808066759388039,3.0,2.0,4.0
10.1,0.0741687979539642,2.0,2.0,3.0
5.2,0.053367217280813214,1.0,1.0,2.0
15.7,0.09394904458598727,4.0,3.0,4.0
7.1,0.04865556978233035,4.0,3.0,4.0
7.0,0.002435737976782753,2.0,2.0,3.0
8.0,0.1836734693877551,4.0,3.0,4.0
4.6,0.0369290573372206,2.0,2.0,3.0
4.7,0.011139475516361104,2.0,2.0,3.0
11.1,0.02972972972972973,2.0,2.0,3.0
8.4,0.011591962905718702,2.0,2.0,3.0
11.1,0.13555992141453832,3.0,3.0,4.0
1.7,0.004754659566375047,1.0,1.0,2.0
7.2,0.06842737094837935,2.0,2.0,3.0
9.2,0.07872078720787208,3.0,2.0,4.0
15.0,0.08791208791208792,3.0,2.0,4.0
16.2,0.0026575130107407818,3.0,3.0,4.0
4.0,0.04767184035476718,3.0,2.0,4.0
9.5,0.09239130434782608,3.0,2.0,4.0
7.3,0.04343105320304017,3.0,3.0,4.0
1.8,0.05813953488372093,2.0,2.0,3.0
7.8,0.056451612903225805,2.0,2.0,3.0
6.6,0.14655172413793102,3.0,2.0,4.0
7.3,0.01995163240628779,3.0,3.0,4.0
5.2,0.04514363885088919,2.0,2.0,3.0
12.7,0.015410958904109588,3.0,2.0,4.0
16.8,0.024967148488830485,2.0,2.0,3.0
9.0,0.0017882076280528133,1.0,1.0,2.0
13.5,0.004074149521287432,2.0,2.0,3.0
14.1,0.1901840490797546,4.0,3.0,4.0
13.1,0.1461794019933555,3.0,2.0,4.0
11.3,0.10943396226415095,3.0,2.0,3.0
14.0,0.12702078521939955,3.0,2.0,4.0
6.5,0.11154598825831702,4.0,3.0,4.0
8.0,0.17716535433070865,3.0,3.0,4.0
15.6,0.13194444444444445,3.0,2.0,4.0
7.8,0.11027568922305764,4.0,3.0,4.0
8.5,0.015897634742148118,2.0,2.0,3.0
4.6,0.012293756065998059,2.0,2.0,3.0
6.8,0.056338028169014086,2.0,2.0,3.0
11.1,0.02536510376633359,2.0,2.0,3.0
10.1,0.011470985155195682,3.0,2.0,4.0
13.0,0.01890597428787497,4.0,3.0,4.0
5.1,0.06118546845124283,2.0,2.0,3.0
12.7,0.0161218092252575,2.0,2.0,3.0
11.4,0.047364909939959975,2.0,2.0,3.0
9.8,0.10805860805860806,3.0,3.0,4.0
12.7,0.014054265079055241,3.0,2.0,4.0
8.5,0.00472488949855205,2.0,2.0,3.0
4.1,0.3050847457627119,2.0,2.0,3.0
15.0,0.14678899082568808,3.0,2.0,4.0
5.0,0.005336025382174791,2.0,2.0,3.0
14.5,0.0019292422050103555,4.0,3.0,4.0
6.0,0.12580645161290321,2.0,2.0,3.0
12.0,0.023780237802378024,3.0,2.0,4.0
8.9,0.1658653846153846,3.0,2.0,4.0
12.4,0.04801477377654663,3.0,2.0,4.0
4.7,0.061068702290076333,2.0,2.0,3.0
8.4,0.010889292196007259,3.0,2.0,4.0
10.3,0.12962962962962962,2.0,2.0,3.0
7.0,0.01982285955293125,2.0,2.0,3.0
10.7,0.13380281690140844,3.0,2.0,4.0
7.0,0.1688888888888889,3.0,3.0,4.0
13.6,0.29949238578680204,3.0,2.0,4.0
8.5,0.05006257822277847,2.0,2.0,3.0
9.4,0.5338983050847458,3.0,3.0,4.0
9.5,0.0039837330898829775,1.0,1.0,1.0
8.2,0.002347877127763647,3.0,3.0,4.0
11.0,0.029197080291970802,4.0,3.0,4.0
10.2,0.01669195751138088,2.0,2.0,3.0
18.9,0.01882530120481928,2.0,2.0,3.0
20.8,0.15613382899628253,3.0,2.0,4.0
4.7,0.042468480424684804,2.0,2.0,3.0
11.5,0.028861571352218066,4.0,3.0,4.0
14.0,0.09247311827956989,2.0,2.0,3.0
18.9,0.057736720554272515,3.0,2.0,4.0
7.2,0.008746355685131196,2.0,2.0,3.0
12.4,0.012028683784408975,3.0,3.0,4.0
22.7,0.00746840291076216,2.0,2.0,3.0
11.5,0.07730061349693251,3.0,2.0,4.0
7.7,0.02990325417766051,2.0,2.0,3.0
11.8,0.06996770721205597,2.0,2.0,3.0
14.6,0.17937219730941703,2.0,2.0,3.0
12.3,0.0022315202231520223,3.0,2.0,3.0
14.6,0.009333821376281113,3.0,3.0,4.0
3.1,0.009227467811158798,3.0,2.0,4.0
10.4,0.034482758620689655,3.0,2.0,4.0
9.0,0.2046783625730994,4.0,3.0,4.0
3.3,0.0144,1.0,1.0,1.0
7.3,0.06220839813374806,2.0,2.0,3.0
7.1,0.010728402032749858,2.0,2.0,3.0
9.9,0.04905239687848383,3.0,2.0,4.0
4.4,0.009620523784072688,1.0,1.0,1.0
10.2,0.010333489901362142,3.0,2.0,4.0
5.9,0.012526997840172787,2.0,2.0,3.0
9.2,0.17133956386292834,4.0,3.0,4.0
8.6,0.0911062906724512,2.0,2.0,3.0
10.6,0.0010039088365337377,3.0,3.0,4.0
8.8,0.004836480884385076,2.0,2.0,3.0
5.6,0.16574585635359115,3.0,2.0,4.0
8.8,0.16342412451361868,2.0,2.0,3.0
5.7,0.06161616161616162,2.0,2.0,3.0
7.5,0.07142857142857142,3.0,2.0,4.0
4.6,0.08,2.0,2.0,3.0
4.2,0.08585858585858586,2.0,2.0,3.0
9.5,0.15028901734104047,3.0,2.0,4.0
5.7,0.0010280133641737343,2.0,2.0,3.0
9.8,0.00882515168229454,2.0,2.0,3.0
3.3,0.0021254926271974495,2.0,2.0,3.0
16.0,0.06900212314225053,4.0,3.0,4.0
8.1,0.01992204417496752,3.0,2.0,4.0
12.1,0.13131313131313133,4.0,3.0,4.0
15.0,0.023762376237623763,3.0,2.0,4.0
9.2,0.26229508196721313,2.0,2.0,3.0
5.5,0.0052898142937535175,2.0,2.0,3.0
5.7,0.09635416666666667,2.0,2.0,3.0
14.1,0.11877394636015326,3.0,2.0,4.0
11.2,0.006931012250161186,4.0,3.0,4.0
7.3,0.004305365956106269,2.0,2.0,3.0
10.8,0.007757951900698216,2.0,2.0,3.0
8.4,0.07250755287009064,2.0,2.0,3.0
7.9,0.005369040688272204,2.0,2.0,3.0
5.5,0.07352941176470588,3.0,2.0,4.0
10.8,0.32786885245901637,3.0,3.0,4.0
7.2,0.19591836734693877,4.0,3.0,4.0
9.9,0.020804438280166437,3.0,2.0,4.0
7.2,0.04118268215417107,2.0,2.0,3.0
8.8,0.040152963671128104,3.0,2.0,4.0
17.6,0.007470651013874066,4.0,3.0,4.0
9.1,0.005583126550868486,2.0,2.0,3.0
6.4,0.005648121999435188,2.0,2.0,3.0
