fkgl,compression_ratio,coherence,coverage,fluency
,,,,
10.6,0.4851708453933767,3.0,4.0,3.0
10.2,0.47559366754617416,4.0,4.0,4.0
9.0,0.505654281098546,3.0,3.0,4.0
17.6,0.5255474452554745,3.0,4.0,4.0
10.7,0.5099537502513574,3.0,4.0,4.0
9.4,0.40648379052369077,4.0,4.0,4.0
6.1,0.4,3.0,3.0,4.0
6.5,0.4028056112224449,3.0,3.0,4.0
8.8,0.47764860977948226,3.0,4.0,3.0
10.9,0.5144356955380578,4.0,4.0,5.0
8.8,0.49723145071982283,3.0,4.0,3.0
8.3,0.38511749347258484,4.0,4.0,4.0
9.4,0.44359171143514964,4.0,4.0,4.0
7.0,0.41654571843251087,3.0,3.0,4.0
9.2,0.5013786764705882,3.0,4.0,4.0
5.0,0.45021645021645024,3.0,3.0,4.0
7.7,0.5544871794871795,3.0,3.0,4.0
10.8,0.518210197710718,4.0,4.0,4.0
16.2,0.39171597633136096,4.0,3.0,4.0
12.1,0.5145560407569141,4.0,4.0,4.0
8.5,0.48747332920366165,3.0,4.0,3.0
6.1,0.21991701244813278,2.0,2.0,3.0
14.7,0.48578199052132703,3.0,3.0,4.0
7.9,0.4903169014084507,3.0,3.0,4.0
10.0,0.5015035538545654,4.0,4.0,4.0
6.2,0.23943661971830985,2.0,2.0,3.0
8.6,0.328,2.0,2.0,3.0
11.4,0.4627848101265823,3.0,4.0,4.0
5.6,0.0949367088607595,2.0,2.0,3.0
10.0,0.49235274975593885,4.0,4.0,4.0
8.3,0.4977261731978713,3.0,4.0,3.0
11.5,0.4960593416782568,4.0,4.0,4.0
7.7,0.4040920716112532,4.0,3.0,4.0
6.3,0.3443456162642948,3.0,3.0,4.0
12.9,0.37579617834394907,4.0,3.0,4.0
6.8,0.5262483994878361,3.0,3.0,4.0
9.9,0.4834162520729685,3.0,4.0,4.0
4.0,0.44387755102040816,3.0,3.0,4.0
9.5,0.4606413994169096,4.0,4.0,4.0
10.2,0.47598050591784635,3.0,4.0,3.0
7.1,0.3621621621621622,3.0,3.0,4.0
8.8,0.4574961360123648,3.0,4.0,4.0
12.1,0.4911591355599214,3.0,3.0,4.0
14.3,0.500570559147965,3.0,4.0,3.0
7.6,0.4069627851140456,4.0,4.0,4.0
7.8,0.4317343173431734,4.0,4.0,4.0
11.8,0.4542124542124542,3.0,3.0,4.0
10.5,0.4987819732034105,3.0,4.0,3.0
13.7,0.5365853658536586,4.0,4.0,4.0
14.9,0.47282608695652173,3.0,3.0,4.0
7.4,0.3496199782844734,2.0,2.0,3.0
7.5,0.5162790697674419,3.0,3.0,4.0
8.2,0.45645161290322583,3.0,3.0,4.0
8.3,0.3879310344827586,2.0,2.0,3.0
13.0,0.5126964933494559,3.0,4.0,4.0
13.8,0.5417236662106704,4.0,4.0,4.0
13.0,0.47578277886497067,3.0,4.0,4.0
16.9,0.5186158563293911,3.0,4.0,3.0
12.4,0.5078019743771893,2.5,3.5,3.5
