fkgl,compression_ratio,coherence,coverage,fluency
,,,,
10.6,0.4852,129.6,1.0,0.9781
10.2,0.4756,16.4,1.0,0.9882
9.0,0.5057,3.8,1.0,0.9272
17.6,0.5255,3.4,1.0,0.6891
10.7,0.51,29.4,1.0,0.9761
9.4,0.4065,6.4,1.0,0.9914999999999999
6.1,0.4,2.0,1.0,0.9042
6.5,0.4028,2.8,1.0,0.8622
8.8,0.4776,97.8,1.0,0.9220999999999999
10.9,0.5144,2.2,1.0,0.9158
8.8,0.4972,10.8,1.0,0.9752000000000001
8.3,0.3851,11.8,1.0,0.9848
9.4,0.4436,19.8,1.0,0.9373
7.0,0.4165,7.6,1.0,0.9275
9.2,0.5014,11.6,1.0,0.9322
5.0,0.4502,2.4,1.0,0.8216
7.7,0.5545,2.6,1.0,0.9468000000000001
10.8,0.5182,11.8,1.0,0.9728
16.2,0.3917,3.4,1.0,0.7246
12.1,0.5146,6.2,1.0,0.8843
8.5,0.4875,142.0,1.0,0.9118999999999999
6.1,0.2199,1.0,1.0,0.851
14.7,0.4858,1.6,1.0,0.8174
7.9,0.4903,10.2,1.0,0.9519
10.0,0.5015,32.2,1.0,0.9525
6.2,0.2394,1.8,1.0,0.9072
8.6,0.328,2.2,1.0,0.9757
11.4,0.4628,12.2,1.0,0.9046000000000001
5.6,0.0949,0.4,0.6,0.7837000000000001
10.0,0.4924,13.4,1.0,0.9515
8.3,0.4977,61.6,1.0,0.9069
11.5,0.4961,10.4,1.0,0.9016
7.7,0.4041,3.6,1.0,0.9999
6.3,0.3443,7.0,1.0,0.9093000000000001
12.9,0.3758,3.2,1.0,0.8119
6.8,0.5262,6.0,1.0,0.8693000000000001
9.9,0.4834,99.8,1.0,0.9964
4.0,0.4439,2.0,1.0,0.7421
9.5,0.4606,7.8,1.0,0.9925
10.2,0.476,19.4,1.0,0.9576
7.1,0.3622,8.0,1.0,0.9306
8.8,0.4575,15.2,1.0,0.9742000000000001
12.1,0.4912,2.6,1.0,0.8843
14.3,0.5006,21.6,1.0,0.7734000000000001
7.6,0.407,6.0,1.0,0.9438
7.8,0.4317,6.2,1.0,0.9478
11.8,0.4542,2.2,1.0,0.9476
10.5,0.4988,83.2,1.0,0.9801
13.7,0.5366,4.2,1.0,0.8427
14.9,0.4728,2.6,1.0,0.7050000000000001
7.4,0.3496,8.2,1.0,0.8856
7.5,0.5163,4.4,1.0,0.9417
8.2,0.4565,4.8,1.0,0.96
8.3,0.3879,3.2,1.0,0.9838
13.0,0.5127,14.0,1.0,0.9172
13.8,0.5417,2.6,1.0,0.949
13.0,0.4758,16.0,1.0,0.863
16.9,0.5186,10.4,1.0,0.6522
12.4,0.5078,180.2,1.0,0.8783
11.9,0.4911,65.8,1.0,0.8904
14.6,0.2822,1.2,1.0,0.7121
12.8,0.5714,1.6,1.0,0.814
5.4,0.2358,3.6,1.0,0.8318000000000001
12.5,0.3279,2.0,1.0,0.8742
8.1,0.4227,4.6,1.0,0.9570000000000001
7.2,0.4606,2.2,1.0,0.9326000000000001
12.4,0.5671,2.4,1.0,0.8231
6.3,0.4662,2.6,1.0,0.8009999999999999
8.9,0.3951,13.0,1.0,0.9762
11.1,0.4604,16.6,1.0,0.9117999999999999
10.6,0.466,3.2,1.0,0.9678
10.5,0.2852,12.6,1.0,0.926
11.5,0.4781,13.8,1.0,0.9558
8.8,0.4064,20.6,1.0,0.9201
10.4,0.3843,2.8,1.0,0.929
9.9,0.5034,19.4,1.0,0.9484999999999999
9.7,0.441,8.6,1.0,0.9975999999999999
11.0,0.5293,2.8,1.0,0.9789
15.0,0.4853,15.4,1.0,0.8634000000000001
13.7,0.5316,26.4,1.0,0.8427
2.3,0.2288,1.4,1.0,0.6974
10.5,0.6055,1.8,1.0,0.9657
13.1,0.5157,28.4,1.0,0.859
11.9,0.481,169.2,1.0,0.8915
6.8,0.4613,2.2,1.0,0.9214
12.7,0.5351,11.4,1.0,0.8701
10.5,0.4856,3.0,1.0,0.9279999999999999
13.0,0.4358,5.0,1.0,0.863
7.9,0.416,4.4,1.0,0.9509000000000001
9.9,0.4939,20.4,1.0,0.9505
9.4,0.5391,2.6,1.0,0.9373
10.3,0.4635,13.2,1.0,0.9321
9.3,0.3768,1.0,1.0,0.9333
6.8,0.2711,2.4,1.0,0.9223999999999999
12.1,0.2284,0.8,1.0,0.8864
9.6,0.4343,4.0,1.0,0.9964999999999999
5.2,0.2119,1.6,1.0,0.8818
12.4,0.5053,46.0,1.0,0.9314
10.7,0.4865,102.0,1.0,0.9771
8.4,0.4534,14.0,1.0,0.963
13.0,0.5,11.8,1.0,0.863
12.6,0.5136,10.8,1.0,0.8722
11.8,0.4201,1.6,1.0,0.8392999999999999
9.9,0.4273,8.4,1.0,0.9964
10.7,0.5077,10.8,1.0,0.9761
12.0,0.5032,3.2,1.0,0.8331999999999999
12.5,0.5,5.0,1.0,0.8210999999999999
10.5,0.4774,24.0,1.0,0.9821
13.7,0.4379,19.0,1.0,0.7906
15.1,0.4795,19.0,1.0,0.7541
9.6,0.5215,5.8,1.0,0.9954999999999999
11.0,0.4169,5.4,1.0,0.9138000000000001
11.9,0.4338,4.8,1.0,0.9436
14.6,0.3543,3.2,1.0,0.6599999999999999
9.4,0.4495,115.0,1.0,0.9894
11.6,0.4522,23.8,1.0,0.9517
11.4,0.5013,20.0,1.0,0.9578
9.7,0.4013,9.6,1.0,0.9975999999999999
4.9,0.2515,1.8,1.0,0.8737
11.3,0.4704,11.6,1.0,0.9057
8.9,0.4075,6.8,1.0,0.9676
8.3,0.4317,21.4,1.0,0.961
8.0,0.3545,8.0,1.0,0.9539
8.3,0.4599,22.2,1.0,0.9079
14.4,0.5221,16.6,1.0,0.8255
10.0,0.4726,13.0,1.0,0.9943
9.3,0.4611,2.4,1.0,0.9874
6.0,0.2842,4.0,1.0,0.9031999999999999
9.7,0.4928,238.0,1.0,0.9975999999999999
9.9,0.449,45.6,1.0,0.9964
12.4,0.6464,0.8,1.0,0.8772
9.7,0.5759,2.6,1.0,0.9483
8.9,0.4949,4.4,1.0,0.9231
6.8,0.2979,4.0,1.0,0.9235
8.0,0.3158,2.6,1.0,0.9529000000000001
7.5,0.4495,4.0,1.0,0.9397
11.8,0.5029,2.6,1.0,0.7852
8.7,0.4873,134.2,1.0,0.917
9.9,0.3469,33.2,1.0,0.9974000000000001
11.3,0.5043,101.0,1.0,0.9608
7.1,0.2431,5.0,1.0,0.9296
10.3,0.4205,12.2,1.0,0.9321
7.6,0.4444,3.2,1.0,0.9969
11.0,0.5251,12.2,1.0,0.9679
7.9,0.2459,1.6,1.0,0.9408
12.1,0.455,36.4,1.0,0.8843
5.5,0.401,2.4,1.0,0.8358
10.6,0.5057,1.4,1.0,0.9249
8.7,0.4413,45.6,1.0,0.9722
9.6,0.497,53.0,1.0,0.9945
9.1,0.4711,28.6,1.0,0.9281999999999999
12.8,0.4411,2.8,1.0,0.8681
11.0,0.505,74.4,1.0,0.9669
7.7,0.4034,3.4,1.0,0.9999
4.6,0.3197,1.2,1.0,0.8125
5.5,0.4286,2.2,1.0,0.8338
10.7,0.4033,12.2,1.0,0.9771
10.5,0.4984,4.8,1.0,0.9821
8.3,0.3728,8.2,1.0,0.9838
11.1,0.4671,27.0,1.0,0.9659
11.2,0.5057,26.4,1.0,0.9629
10.7,0.5078,34.0,1.0,0.9771
11.9,0.4664,26.0,1.0,0.8915
13.2,0.4917,71.8,1.0,0.858
11.9,0.4865,185.2,1.0,0.9446
12.6,0.5372,13.4,1.0,0.8732
9.0,0.5075,7.6,1.0,0.9262
20.8,0.4523,0.6,1.0,0.6579999999999999
11.0,0.4543,12.8,1.0,0.9689
7.5,0.3715,5.2,1.0,0.9417
5.2,0.2138,1.2,1.0,0.8798
16.0,0.4749,2.8,1.0,0.7297
16.6,0.4886,3.2,1.0,0.7676
2.6,0.2971,2.0,1.0,0.6523999999999999
13.3,0.5381,19.6,1.0,0.9079999999999999
11.9,0.5993,2.4,1.0,0.8904
10.6,0.4867,121.6,1.0,0.9791
6.2,0.3906,4.6,1.0,0.8541
11.1,0.339,2.6,1.0,0.8575999999999999
12.3,0.3195,1.2,1.0,0.7729999999999999
11.8,0.5221,21.6,1.0,0.8935
7.5,0.4526,5.0,1.0,0.9417
10.7,0.5488,8.0,1.0,0.975
13.7,0.6036,3.4,1.0,0.7896
14.1,0.5589,15.0,1.0,0.8346
11.9,0.5314,20.4,1.0,0.8894
6.4,0.5672,1.6,1.0,0.9113
9.9,0.48,0.8,1.0,0.9964
10.1,0.5074,10.4,1.0,0.9913000000000001
16.9,0.5526,0.8,1.0,0.7595000000000001
9.4,0.4526,18.4,1.0,0.9894
6.7,0.3818,2.4,1.0,0.8673000000000001
10.8,0.4831,11.6,1.0,0.974
14.7,0.5568,5.0,1.0,0.8184
6.2,0.3363,2.8,1.0,0.9072
7.7,0.2965,1.8,1.0,0.9989
9.2,0.4337,3.4,1.0,0.9073
12.1,0.5115,4.4,1.0,0.9385
10.1,0.3702,4.0,1.0,0.9903
11.1,0.5771,3.2,1.0,0.982
10.5,0.4689,3.4,1.0,0.9647
6.5,0.1803,1.8,1.0,0.9695
16.2,0.5119,3.4,1.0,0.6705
11.6,0.483,8.0,1.0,0.8986
6.0,0.3484,3.6,1.0,0.8490000000000001
13.4,0.4428,2.8,1.0,0.8529
9.5,0.3456,4.4,1.0,0.9544
12.0,0.4238,5.6,1.0,0.9415
13.1,0.4373,13.6,1.0,0.8058
9.9,0.4359,3.4,1.0,0.9432
8.0,0.4766,16.4,1.0,0.8998
5.0,0.4719,1.6,1.0,0.8226
10.6,0.4586,43.6,1.0,0.9678
13.8,0.5155,34.2,1.0,0.8407
11.0,0.4956,2.2,1.0,0.8596
8.8,0.4656,3.6,1.0,0.9727
14.0,0.5134,30.2,1.0,0.8366
9.2,0.4648,33.6,1.0,0.9864
9.8,0.3793,1.2,1.0,0.9984000000000001
11.5,0.5122,39.6,1.0,0.9558
11.2,0.4919,18.6,1.0,0.9077000000000001
12.7,0.527,15.0,1.0,0.8691
10.8,0.49,115.0,1.0,0.974
6.6,0.2583,7.8,1.0,0.9174
8.1,0.4474,20.8,1.0,0.9559000000000001
9.9,0.4828,1.0,1.0,0.8881
10.4,0.5106,51.2,1.0,0.9637
12.5,0.4709,11.4,1.0,0.8742
11.7,0.4397,41.6,1.0,0.8955
12.9,0.5252,10.0,1.0,0.8119
11.5,0.4355,12.8,1.0,0.9016
9.5,0.4045,11.6,1.0,0.9935
10.7,0.4502,25.2,1.0,0.975
8.8,0.3965,22.6,1.0,0.9742000000000001
12.5,0.5387,8.0,1.0,0.8742
8.4,0.4437,4.0,1.0,0.9808
10.5,0.479,1.6,1.0,0.927
17.3,0.5661,1.0,1.0,0.5889
15.2,0.5033,19.4,1.0,0.8052
8.0,0.3295,3.8,1.0,0.8998
13.1,0.5207,1.4,1.0,0.859
8.3,0.4618,6.4,1.0,0.9620000000000001
10.4,0.4564,31.0,1.0,0.9842
5.6,0.2596,2.4,1.0,0.892
17.2,0.5563,2.4,1.0,0.6451
